category,vehicle_no,vehicle_type,vehicle_make,vehicle_model
Container,HR55AB7728,14 TYRES,,
Container,HR38Y0203,10 TYRES,,
Container,HR47D1979,14 TYRES,,
Container,6785HR38S,10 TYRES,,
Container,HR47D5838,14 TYRES,,
Container,HR38X8465,12 TYRES,,
Container,7987HR38S,10 TYRES,,
Container,HR47D0743,14 TYRES,,
Container,HR67B5209,10 TYRES,,
Container,HR55X0753,12 TYRES,,
Container,6144HR38T,10 TYRES,,
Container,9970HR38T,10 TYRES,,
Container,HR38X9314,12 TYRES,,
Container,HR47D1539,14 TYRES,,
Container,HR67B6699,12 TYRES,,
Container,5697HR67B,12 TYRES,,
Container,HR47D7683,14 TYRES,,
Container,7988HR38S,10 TYRES,,
Container,HR38Y3530,,,
Container,HR55AB3140,14 TYRES,,
Container,4163HR38T,12 TYRES,,
Container,HR384801,12 TYRES,,
Container,7723HR67B,12 TYRES,,
Container,2745HR38T,10 TYRES,,
Container,9577HR38T,12 TYRES,,
Container,HR38Y7418,10 TYRES,,
Container,8814HR38S,10 TYRES,,
Container,4469HR38T,10 TYRES,,
Container,HR38W0359,12 TYRES,,
Container,HR38Y1367,,,
Container,HR38Y3730,12 TYRES,,
Container,HR55AB7594,14 TYRES,,
Container,HR38T7848,,,
Container,9895HR55V,10 TYRES,,
Container,8570HR38T,12 TYRES,,
Container,HR55AB8796,14 TYRES,,
Container,HR55X5701,14 TYRES,,
Container,8815HR38S,10 TYRES,,
Container,HR38W3774_NEW,14 TYRES,,
Container,1274HR55V,10 TYRES,,
Container,HR55S5151,14 TYRES,,
Container,8708HR67B,12 TYRES,,
Container,HR55X7941,14 TYRES,,
Container,5208HR67B,12 TYRES,,
Container,4763HR38U,10 TYRES,,
Container,1643HR38U,10 TYRES,,
Container,HR55AB7935,14 TYRES,,
Container,HR47D8157,14 TYRES,,
Container,HR67B5280,10 TYRES,,
Container,HR55W1972,12 TYRES,,
Container,5655HR38T,10 TYRES,,
Container,HR55AB8743,14 TYRES,,
Container,HR38X1090,12 TYRES,,
Container,6787HR38S,10 TYRES,,
Container,HR38Y6027,10 TYRES,,
Container,HR38S8819,10 TYRES,,
Container,7843HR67B,12 TYRES,,
Container,HR38X3914,12 TYRES,,
Container,5146HR67B,12 TYRES,,
Container,6460HR38T,12 TYRES,,
Container,HR55X2639,14 TYRES,,
Container,0597HR38U,10 TYRES,,
Container,HR38W0935,14 TYRES,,
Container,HR55X2884,14 TYRES,,
Container,HR55AA2610,12 TYRES,,
Container,HR38X3851,12 TYRES,,
Container,3754HR38U,10 TYRES,,
Container,HR38Y2292,12 TYRES,,
Container,HR38S8818,10 TYRES,,
Container,7959HR38T,12 TYRES,,
Container,8821HR38T,10 TYRES,,
Container,6783HR38S,10 TYRES,,
Container,HR38S9579,10 TYRES,,
Container,5573HR55AA,12 TYRES,,
Container,HR55AA5236,12 TYRES,,
Container,HR55Y9979,12 TYRES,,
Container,HR38Y6005,10 TYRES,,
Container,HR55X3716,14 TYRES,,
Container,HR55Y3117,12 TYRES,,
