category,vehicle_no,vehicle_type,vehicle_make,vehicle_model
Body Dry Vehicle 32Ft,3262MH04GF,10 TYRE,TATA,
Body Dry Vehicle 32Ft,3263MH04GF,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8101MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8102MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8254MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8257MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8258MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,2395MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,7459MH04EY,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8290MH04DS,10 TYRE,TATA,
Body Dry Vehicle 32Ft,2588MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,0059MH04FP,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8256MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8292MH04DS,10 TYRE,TATA,
Body Dry Vehicle 32Ft,9040MH04DS,10 TYRE,TATA,
Body Dry Vehicle 32Ft,2374MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,3260MH04GF,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8104MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,0893MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,2331MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,3261MH04GF,10 TYRE,TATA,
Body Dry Vehicle 32Ft,3264MH04GF,10 TYRE,TATA,
Body Dry Vehicle 32Ft,9038MH04DS,10 TYRE,TATA,
Body Dry Vehicle 32Ft,0981MH04EB,10 TYRE,TATA,
Body Dry Vehicle 32Ft,1019MH04EB,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8103MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8105MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,8255MH04GC,10 TYRE,TATA,
Body Dry Vehicle 32Ft,0891MH04HY,12 TYRE,TATA,
Body Dry Vehicle 32Ft,2372MH04HY,12 TYRE,TATA,
